id,title,report_time,introduction,pages_count,industry,cover,download_url
453,2002年中国网络广告年报（简版）,2003-03-01 00:00:00.0,网络广告进入2002年，充满了机遇，也带来了挑战，媒体间的相互竞争也日趋激烈。从目前的市场来看，使网站能够赢利的最大功臣并不是网络广告，但是对于已经走过五个年头的网络广告来说到底进展如何，对于网络媒体而言今后是攻是守，如何应对市场带来的变化呢？,17,广告营销,http://pic.iresearch.cn/report/old/f0001.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=453
960,2006年中国无线互联网搜索研究报告,2006-12-29 15:33:48.0,2004年以来，多家无线搜索运营商开始在国内推出自己的产品，并且逐步获得用户的认可，商业模式也日渐清晰。为了更好的把握中国无线互联网搜索市场现状及发展趋势，iResearch艾瑞市场咨询于2006年11月完成了《2006年无线互联网搜索引擎报告》，以期对行业的发展起到一定的推动作用。,42,媒体文娱,http://pic.iresearch.cn/news/0468/20061229/0029@2327.jpg,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=960
961,2006年Ellechina网站用户调查报告,2006-12-01 10:47:38.0,,70,企业服务,http://pic.iresearch.cn/report/old/R20061211142646report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=961
962,2006年10月中国搜索引擎市场份额报告,2006-12-01 11:07:26.0,,15,媒体文娱,http://pic.iresearch.cn/report/old/R2006122695540report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=962
963,iUserTracker2006年12月视频分享网站分析报告,2007-01-29 16:50:37.0,2006年12月，所有网站的月度总覆盖用户数为10527万人，比2006年11月上升了1%。2006年12月，视频分享类网站的月度总覆盖用户数为5737万人，比2006.11月上升了6%，比2006年9月上升了17%。在最近四个月内，视频分享类网站的月度总覆盖用户数缓步上升。,18,视频媒体,http://pic.iresearch.cn/report/old/R2007129111342report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=963
964,2007年中国跨网即时通讯研究报告,2007-01-19 18:08:41.0,即时通讯可以定义为以软件为执行手段，以多种信息格式（文字、图片、声音、视频等）沟通为目的，通过多平台、多终端的通讯技术来实现的同平台、跨平台的低成本高效率的综合性通讯工具。跨网即时通讯是指把通讯范围扩大到互联网以外的移动电话网和固定电话网络，实现互联网、移动网和固定电话网三个网络间的即时沟通。,40,企业服务,http://pic.iresearch.cn/report/old/R200711917355report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=964
965,2006年中国网络游戏企业竞争力研究报告,2006-12-30 18:40:49.0,iResearch艾瑞市场咨询经过慎密的市场调查行业分析得到，2006年里中国网络游戏市场呈现出：运营商收入持续增长、休闲游戏增速提高比重扩大；市场多元化，集中度下降；新公司及休闲游戏公司崛起等特点。,41,游戏行业,http://pic.iresearch.cn/report/old/R20061231181131report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=965
967,2006年中国汽车服务企业简版报告,2007-03-01 20:05:19.0,随着中国汽车产业迅猛发展，关注汽车资讯的汽车发烧友逐渐增多，汽车类网站引起了汽车厂商和汽车经销商的密切关注，近几年投放网络广告费用正逐渐增加。2005年中国汽车类网站整体收入达到3.8亿元，iResearch艾瑞市场咨询预测到2006年底我国汽车类网站市场规模将达到5.7亿元。,21,汽车行业,http://pic.iresearch.cn/report/old/R200727152347simple.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=967
968,中国白领网民消费形态研究报告,2007-03-01 21:03:36.0,iResearch艾瑞市场咨询通过iUserSurvey及MSN进行网络调研获得，白领网民具有以下主要特征：消费能力强、旅游度假是休闲首选；追求健康舒适生活、理财观念强私车比重高。,26,消费电商,http://pic.iresearch.cn/report/old/R200729181840report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=968
969,17173第六届中国网络游戏市场调查报告,2007-03-01 21:37:37.0,“2006年17173第六届中国网络游戏市场调查”在前五次调查的基础之上继续由www.17173.com牵头，与艾瑞市场咨询强强联手，在40多家知名媒体的支持下，对目前市面上包括角色扮演类网络游戏、休闲动作类网络游戏、棋牌桌面类游戏等在内的各种类型游戏产品的内容、画面、技术、市场认知程度，中国网络游戏玩家上网行为等几大方面均进行了详细的数据调查与剖析。,49,游戏行业,http://pic.iresearch.cn/report/old/R2007261211report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=969
970,2006年新浪财务研究报告,2007-03-01 21:46:27.0,2006年新浪总营业收入2.13亿美元，较2005年度1.94亿美元增长10%，摆脱05年总营收下滑的局面。就单个季度分析，06年第四季度新浪业务总收入5640万美元，同比增长9%，环比增长1%，超过公司先前5300万美元至5600万美元的预期。,21,媒体文娱,http://pic.iresearch.cn/report/old/R2007223211152report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=970
971,2006年中国网上银行简版报告,2007-03-01 22:02:18.0,2006年中国网上银行业取得了突飞猛进的发展，iResearch艾瑞市场咨询预计，2006年中国网上银行用户规模已经达到7100万户，交易额规模达到93.4万亿元，但是我国的网上银行仍处在初级发展阶段，所能提供的产品与服务品种还很有限，在不断发展的过程中还存着安全、监管法规、业务模式等诸多问题。,23,金融行业,http://pic.iresearch.cn/report/old/R20072241380simple.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=971
972,2006年中国手机电视简版报告,2007-03-01 22:11:46.0,iResearch艾瑞市场咨询研究结果显示，2006年使用手机电视的用户数量已达到90万人，预计2007年国内手机电视用户将达到410万人。受2008年奥运会的推动，手机电视业务进入快速成长阶段，预计2008年手机电视用户数将达到1200万人。,29,消费电商,http://pic.iresearch.cn/report/old/R200722401326simple.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=972
973,2006年中国网络相册简版报告,2007-03-01 22:22:22.0,据艾瑞调研统计，2006年中国活跃网络相册账号数约2500万个，预计未来几年会保持较高速度增长，年新增活跃账号在1000万左右，网络相册用户的渗透率将逐步提高。,24,网络服务,http://pic.iresearch.cn/report/old/R200722322585simple.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=973
974,2006年中国电子邮箱简版报告,2007-03-01 23:01:25.0,iResearch艾瑞市场咨询研究发现，2006年中国活跃电子邮箱账号数约2.5亿，预计未来几年增长率随网民人数的增加而同步增长，预计2008年超过3亿个。2006年国内活跃免费电子邮箱账号约2亿个，个人收费邮箱数量约800万个，企业邮箱提供商提供的企业邮箱产品约700万个子账号，预计2007年会达到800万个子账号。,26,企业服务,http://pic.iresearch.cn/report/old/R200722321470simple.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=974
975,2006年中国域名主机简版报告,2007-03-01 23:13:45.0,根据iResearch艾瑞市场咨询研究表明：目前中国域名市场上域名总数为412万。从主要的域名类型来看，.COM域名凭借48%的中国域名市场占有率而排名第一；其次是二级域名.CN，其市场份额为27%。,24,媒体文娱,http://pic.iresearch.cn/report/old/R2007223201458simple.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=975
976,iUserTracker2006年12月P2P流媒体软件分析报告,2007-03-01 23:21:07.0,据iUserTracker分析，2006年12月中国中国P2P流媒体软件主要指标均保持增长。2006年12月，P2P流媒体软件的总有效使用时间为1.4亿小时，人均月度有效使用时间为4310.5分钟，月度总覆盖用户数为3537.2万人，在最近四个月中，这四项指标整体呈增长趋势。,20,媒体文娱,http://pic.iresearch.cn/report/old/R2007225104443report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=976
977,iUserTracker2006年12月即时通讯软件分析报告,2007-03-01 23:32:22.0,据iUserTracker分析，2006年12月中国即时通讯软件主要指标均保持增长。中国网民对即时通讯类软件的总有效使用时间为10.8亿小时，人均月度有效使用时间为693.3分，月度总覆盖用户数为10183万人，月度总启动次数为84亿次，在最近四个月中，这四项指标每月都呈增长趋势。,30,企业服务,http://pic.iresearch.cn/report/old/R200722594520report200.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=977
978,2006年中国网络广告市场份额报告,2007-03-01 23:52:04.0,根据iResearch的调研数据显示，2006年中国网络广告市场规模为46.6亿元，比2005年增长48.9%。网络媒体运营商收入为40.5亿元；其中，门户网站广告收入为23.6亿，占58%，行业垂直类网站占11.2亿，其他中小网站占5.7亿。,24,广告营销,http://pic.iresearch.cn/report/old/R200731185444simple.gif,https://www.iresearch.cn/include/ajax/user_ajax.ashx?work=idown&rid=978
